snpFFUsSA2o,666123,4399,150,0,
CVW6EhZ1uGU,977,5,0,0,5
hBGP5zH5a2I,2164,34,2,0,7
fvTnNxl0tmc,26521,23,1,0,18
6uibUMWM1v8,20983,142,27,0,153
EI_dq-N6cI4,1656,1,0,0,0
oo_FRVzT21E,71731,241,19,0,12
ekgj2SIFeHU,499,0,0,0,0
mDZEA9Io7Fk,1785,8,0,0,3
7gaJ-onftvU,20434,31,2,0,0
Y28MsljBgvU,37807,159,9,0,1
JnBzMKIOm18,10431,42,1,0,5
2ura3854IEE,17405,56,3,0,33
bDBTUcSyyiY,3817,13,1,0,3
TUapoiDZEnI,61176,168,9,0,22
77B857o_fXQ,5928,27,0,0,3
PUaZn8vrc-w,83,0,0,0,0
qGozFBtpkSs,166132,679,104,0,209
WY_CAveGhlE,1558,17,1,0,0
cgRc9TQTCf8,2421,11,0,0,7
ujvkpN0-DUM,1297,3,0,0,0
MjXAr0oYDYc,150,6,0,0,0
LKb66NDvlQQ,8711,34,0,0,5
N-nwqpw5l_0,402589,1995,432,0,1465
Y-rQwUFrmMg,418769,3299,231,0,2985
P6g_FTXquPM,86087,199,37,0,43
gwpNk109TO0,807700,2946,371,0,219
SNFtevZ7hqo,2047266,9787,337,0,1613
xNJZWe4VgJI,105986,250,11,0,16
BxrInkXQtSc,957091,2172,187,0,104
haHuDk3T-kU,92956,744,11,0,36
ITdrfy4Sw8E,619465,2713,99,0,174
pr3Hc3zFALo,386089,895,161,0,1070
NnLIMWLs0b8,884606,3237,157,0,227
XZsD80ne_w8,5563,3,26,0,2
Ack1_c1t3Rw,28,3,0,0,0
BhEmn0hwcl0,1184,2,2,0,1
RsCf1G-Ewn0,210403,255,19,0,50
uCBa8JRXIoM,17364,109,6,0,14
jp68E6tBetY,55850,210,4,0,17
dnkw_z1j_ts,183019,467,39,0,238
-1QpScB-HJg,1325639,6341,208,0,2976
DyuT-nPlB0M,110,22,1,0,10
c5uz8olbPn8,11209270,46511,3435,0,6175
ICmHkzdWk8U,126175,2279,121,0,420
r7dJmFsnwmM,3658,27,1,0,0
uWKUT19LK00,1018131,40625,271,0,2952
S-0F0gkZjd4,3527,11,1,0,1
KsXHpAvZQ5Q,4882,32,0,0,1
F_5sV8s9ZEA,572491,9699,126,0,862
l2xwLp_S44c,6950,15,2,0,1
cV-g6uQfllk,4940,28,5,0,0
5fjy_2ajEkg,5959397,5341,1975,0,894
3ZIOGTgCLkk,741973,973,155,0,258
imIzFOm3hEk,1460,1,1,0,0
cAYBplKgc8o,1027258,3057,194,0,1223
gg2cJ2NXyIo,19286,41,19,0,6
CEPtmLRkbO4,70109,505,10,0,106
wq7ftOZBy0E,168069918,854031,99542,0,524573
Ue1u59VdNjE,46479,111,6,0,3
vFlEznMNktU,463,16,0,0,8
V4sfaiVy2dI,1170173,5238,309,0,1089
zTwn69Wg-kc,68,5,0,0,
uR4e4BKzj08,10582,598,7,0,93
ktou5CQX1W0,11758,43,2,0,3
NaOf3em35Tc,21273,203,5,0,44
SxQnmgA08LM,47965,541,15,0,125
O6VBSJiPAlg,2764289,9238,902,0,1429
igTOq_plSSs,162816,746,31,0,64
nQk3aqml2c8,74491,424,27,0,595
WcM14Al83Ls,28914268,336096,4586,0,38023
PmKj7tZnT34,8049,12,0,0,20
GvW_Y9sw6hk,18935,72,6,0,7
wE_9yKy3ic0,74772,505,8,0,14
LMuS7l5wFS4,7452,11,1,0,
iFPa15QG7kY,237497,542,38,0,83
Y1XpymIQ9RQ,6439,49,4,0,5
MqEtgK7hs3s,59064,255,11,0,39
ObUN7xb4CGA,284956,1049,57,0,74
