"271","456","553","0","888","1467898277"
"355","706","5496","3","10540","1467898332"
"5","16","88","0","61","1467898516"
"68","286","349","0","52","1467898583"
"146","494","1049","7","842","1467898624"
"27","81","223","1","391","1467898633"
"253","177","7264","21","1363","1467898694"
"15510","1521","39507","136","55643","1467898701"
"86","80","3971","2","4842","1467898720"
"78","312","527","1","225","1467898744"
"301","332","1680","1","1096","1467898756"
"184","194","20094","4","6780","1467898840"
"124","214","2126","9","2502","1467898876"
"12","8","87","1","18","1467898907"
"72","149","1075","1","16146","1467898912"
"4","4","40","0","10","1467899004"
"1460","383","9047","14","12592","1467899102"
"72","41","57","3","45","1467899169"
"2679","151","13256","5","10888","1467899275"
"2668","875","1869","85","66282","1467899367"
"395","266","378","0","1569","1467899468"
"40","255","294","0","92","1467899478"
"74","77","84","0","172","1467899485"
"75","80","1008","0","863","1467899595"
"327","348","9611","5","5258","1467899662"
"326","299","3070","3","1445","1467899693"
"26","217","164","2","19","1467899711"
"831","222","5609","5","177","1467899892"
"880","528","79287","22","20004","1467899913"
"18","22","16","0","5","1467899939"
"293","97","11039","7","4891","1467899962"
"233","143","396","2","302","1467900013"
"609","489","31708","8","19282","1467900025"
"165","74","12860","7","4582","1467900077"
"562","39","30006","3","7320","1467900118"
"1070","493","33214","160","11974","1467900220"
"168","309","2162","7","3749","1467900226"
"459","253","26082","6","948","1467900278"
"1001","758","5475","164","1400","1467900292"
"2132","1788","106457","101","47552","1467900409"
"235","50","31835","11","25","1467900487"
"1370","2844","91460","139","41728","1467900595"
"1648","353","14015","137","2306","1467900599"
"271","204","7052","0","2217","1467900600"
"304","467","489","2","543","1467900605"
"147","478","1231","1","667","1467900721"
"337","330","5348","1","2543","1467900809"
"13","6","4801","3","4","1467900877"
"820","584","47555","30","11839","1467900888"
"46","113","308","1","447","1467900934"
"423","2485","3113","3","1293","1467900980"
"917","363","24311","4","21317","1467901015"
"651","261","34152","10","29549","1467901102"
"446","449","17736","4","14318","1467901296"
"4215","3359","22758","316","10285","1467901383"
"158","111","1437","4","5261","1467901384"
"4215","3359","22759","316","10285","1467901397"
"217","127","252","5","3619","1467901644"
"263","355","34826","15","2676","1467901720"
"45","172","7109","7","5459","1467901832"
"470","337","10692","2","15292","1467901846"
"278","292","7485","4","1015","1467901967"
"549","1268","30786","17","16377","1467902257"
"370","834","12351","11","22044","1467902265"
"1296","2097","15028","27","24621","1467902271"
"382","572","5305","44","218","1467902272"
