"88","50","3171","22","3569","1467898648"
"3673","2911","113838","287","340","1467899524"
"118","204","849","9","419","1467900069"
"459","933","1199","14","455","1467900452"
"3531","3521","60104","141","12658","1467900790"
"521","686","10368","28","4378","1467901261"
"235","0","334827","115","0","1467901451"
"672","612","24139","32","80","1467901566"
"1793","668","30029","55","3919","1467901667"
"108","62","3019","8","7705","1467901755"
"1600","2114","41845","172","3453","1467901854"
"8595","9289","68297","124","31386","1467901947"
"2800","1981","76159","30","307","1467902104"
"4066","11","229","120","0","1467902128"
"129","244","2937","6","40","1467902156"
"2314","4932","38555","310","17875","1467902165"
"1687","1661","53188","78","7486","1467902528"
"167","183","17204","17","14518","1467902584"
"218","368","4970","17","752","1467902748"
"1536","2145","44392","93","21104","1467902751"
"970","955","10529","13","13251","1467902769"
"1267","1247","20948","32","3561","1467902778"
"698","720","6788","19","6576","1467902798"
"182","614","2025","9","179","1467902810"
"509","775","2487","13","7962","1467903044"
"11517","6708","14408","214","28786","1467903159"
"101","251","968","0","1757","1467903304"
"189","226","791","0","3429","1467903359"
"503","711","13132","7","7574","1467903405"
"523","98","1584","3","1030","1467903436"
"50","116","75","0","91","1467903575"
"1540","3753","5399","13","1104","1467903626"
"7381","6285","269833","861","1347","1467903628"
"47","256","3530","34","3065","1467903631"
"17015","2059","146229","202","3593","1467903674"
"176","8","64698","22","239","1467903753"
"11","42","79","5","47","1467903930"
"805","125","31128","71","41317","1467904036"
"1884","2130","7190","173","2681","1467904079"
"1013","1907","5809","14","238","1467904091"
"21","42","805","2","268","1467904125"
"482","465","29688","7","3471","1467904227"
"11491","11217","160901","197","50318","1467904233"
"14328","12648","23180","276","61","1467904808"
"245","839","3910","3","21","1467904833"
"297","138","10895","12","10166","1467904845"
"796","1276","7412","24","3345","1467904922"
"2860","2753","98206","111","1673","1467905081"
"130","158","5740","13","816","1467905438"
"13","30","32","0","44","1467905454"
"49","10","523","7","1","1467905712"
"141","153","5851","2","1292","1467905751"
"19533","22522","601474","127","15704","1467905798"
"1955","2183","33944","54","4633","1467905839"
"1268","1999","8473","61","612","1467905857"
"496","2296","26480","117","695","1467905882"
"216","499","1649","3","647","1467905912"
"5491","5755","220314","634","2739","1467905941"
"458","842","9630","27","4071","1467906055"
"1019","2569","24730","145","22348","1467906114"
"123","108","3179","4","1342","1467906216"
"436","180","7812","0","730","1467906264"
"211","310","3002","12","134","1467906980"
"2939","3053","47896","30","16608","1467907204"
"1114","608","39435","76","53121","1467907213"
"1132","117","31569","0","56598","1467907332"
"303","670","2431","22","3659","1467907392"
"164","61","8302","8","1449","1467907407"
"81","197","1610","2","2388","1467907411"
"2892","3261","175107","702","160511","1467907420"
"1363","662","33166","143","63879","1467907552"
"43","181","248","0","660","1467907574"
"610","3873","23142","139","26","1467907713"
"8201","8057","98216","164","42217","1467907970"
"1000","1002","10901","61","4254","1467908286"
"596","787","14530","21","6075","1467908575"
"572","977","7801","15","9957","1467908766"
"46024","26880","97887","537","67790","1467908914"
"2829","10","402471","220","0","1467909008"
"664","1693","3911","9","9711","1467909060"
"420","485","16401","22","15275","1467909193"
"127","183","330","3","450","1467909235"
"4297","2195","45578","119","10195","1467909388"
"1996","2110","43670","131","3660","1467909436"
"1376","1974","9376","58","211","1467909441"
"190","234","1906","6","145","1467909717"
"1543","1779","21780","100","36386","1467909736"
"6415","4187","76314","122","76054","1467909756"
"1769","4988","26924","50","11331","1467909885"
"94","85","3150","11","2574","1467909963"
"609","2094","4104","19","1442","1467910046"
"19536","22522","601570","127","15704","1467910084"
"19030","6780","227021","285","145238","1467910242"
"8726","7443","282055","466","4777","1467910497"
"93","426","235","3","183","1467910723"
"1530","2362","19473","29","7450","1467910762"
"2580","3039","92900","164","37238","1467910828"
"4392","4334","94889","227","92276","1467911015"
"565","1496","14534","28","8345","1467911046"
"210","120","2389","0","2478","1467911069"
"1190","1679","14800","58","5753","1467911191"
"126","134","9037","21","550","1467911363"
"378","383","23624","5","8617","1467911686"
"435","616","17363","25","10200","1467911706"
"207","358","2509","11","737","1467911806"
"171","329","1687","8","2199","1467911854"
"1023","764","107898","17","10608","1467911918"
"194","326","1911","6","3241","1467912140"
"836","1412","10463","14","711","1467912151"
"1560","2264","18402","51","1190","1467912350"
"95","43","9626","9","30","1467912547"
"2803","3500","33708","113","25497","1467913277"
"723","564","19694","52","22706","1467913366"
"8474","1936","18881","145","161","1467914463"
"3824","4819","9312","40","10","1467914465"
"674","878","4818","2","5634","1467914497"
"32","62","641","0","445","1467914723"
"103","114","3729","28","8631","1467914963"
"874","829","16651","32","2413","1467915139"
"723","729","30108","29","7719","1467915152"
"71","253","3278","1","1060","1467915290"
"1159","1520","34992","75","306","1467915290"
"9412","9682","113690","304","14875","1467915391"
"429","1919","9986","14","3535","1467915408"
"354","353","2854","14","7644","1467915739"
"58","119","836","1","118","1467915791"
"29821","31919","299547","2470","12183","1467916043"
"583","1977","32324","69","1817","1467916087"
"229","347","12946","5","282","1467916105"
"5367","4219","197136","199","47109","1467916153"
"605","1258","609","1","591","1467916288"
"648","1008","8642","22","109","1467916301"
"10172","10116","72217","465","7823","1467916360"
"1205","2794","10383","74","14204","1467916384"
"1533","1819","15901","32","11474","1467916393"
"25","18","588","0","7","1467916614"
"182","616","2116","9","179","1467916655"
"27465","2242","102114","325","148","1467916730"
"627","661","13684","36","44698","1467916776"
"1371","2574","14288","41","6950","1467916915"
"1325","193","136456","114","103978","1467916974"
"52","55","1359","2","2242","1467917001"
"307","766","795","5","2440","1467917024"
"29","95","696","2","659","1467917031"
"497","150","39948","24","3326","1467917069"
"524","278","6407","1","7248","1467917103"
"241","279","3600","15","7152","1467917487"
"640","790","9714","35","4329","1467917617"
"15","0","20474","177","83","1467917705"
"2809","3743","10108","92","3209","1467917736"
"238","165","3671","0","530","1467918058"
"841","655","12915","95","46","1467918091"
"4104","4323","22269","40","4505","1467918095"
"14","41","138","0","285","1467918197"
"3","16","41","0","63","1467918357"
"680","118","5077","17","5632","1467918362"
"933","1911","6786","71","3754","1467918632"
"734","864","14623","182","11850","1467918704"
"203","172","9929","9","3907","1467918848"
"1401","1849","28727","49","571","1467918987"
"1366","666","33263","144","63984","1467919003"
"136","628","2524","4","3182","1467919114"
"484","530","11924","33","18536","1467919145"
"1905","1911","24317","42","15444","1467919404"
"342","363","2521","4","2220","1467919433"
"3222","1945","41128","65","25158","1467919840"
"3324","3027","3389","32","100","1467920189"
"18","43","189","0","15","1467920599"
"259","171","17303","1","1425","1467920658"
"15","8","684","5","153","1467921253"
"2640","2408","10217","30","10404","1467921399"
"45","144","3447","2","2643","1467921424"
"5489","5754","220440","634","2739","1467921568"
"928","982","13200","52","12","1467921763"
"257","451","12300","5","2751","1467922177"
"225","236","1528","4","103","1467922196"
"1298","196","6290","5","10030","1467922749"
"662","367","36485","51","135","1467922932"
"14","21","876","14","0","1467923010"
"49","143","1035","1","3","1467923038"
"872","802","26924","66","8596","1467923155"
"9","32","725","0","75","1467923176"
"57","119","406","6","368","1467923253"
"893","1981","42863","53","308","1467923312"
"1750","2388","5901","23","5273","1467923428"
"39363","16664","141225","554","72354","1467923809"
"173","86","17141","25","14330","1467923981"
"814","1437","60881","129","4133","1467924338"
"8719","7196","225150","379","143617","1467924750"
"747","803","10783","26","2437","1467924803"
"147","396","5453","10","18456","1467924807"
"1173","2250","51043","33","5986","1467924900"
"2724","2944","19743","53","5548","1467925298"
"1781","2259","5760","24","5213","1467925374"
"1200","1202","8412","43","5725","1467925733"
"553","680","661","10","831","1467925992"
"4541","4290","169767","387","11932","1467926075"
"215","126","13945","42","3990","1467926283"
"4572","5026","26784","88","4049","1467926646"
"5445","5724","92980","338","16378","1467926777"
"279","55","19585","177","1657","1467926857"
"440","782","2664","31","297","1467927414"
"2507","2549","7158","35","10576","1467927695"
"2082","2466","23928","54","3016","1467928112"
"7390","6285","270221","861","1347","1467928208"
"684","1002","11041","22","9415","1467928325"
"75","247","5","1","3","1467928484"
"13","8","64","5","0","1467928602"
"34","44","265","0","163","1467928630"
"1666","1848","253391","54","168843","1467928655"
"34","44","265","0","163","1467928677"
"16","7","39","7","2","1467928677"
"12","19","1","0","0","1467928684"
"406","106","5669","13","3710","1467928762"
"6","0","18","2","1","1467928804"
"6","32","118","0","6","1467928827"
"6","32","118","0","6","1467928854"
"11","7","165","2","10","1467928902"
"131","307","1293","5","1079","1467928931"
"148","276","485","0","18","1467928963"
"40","95","81","0","7","1467928967"
"242","481","15590","0","1363","1467928998"
"72","202","561","0","115","1467929143"
"24","23","305","13","101","1467929240"
"1581","2370","22358","120","13971","1467929434"
"11743","11552","218098","363","10159","1467929665"
"2132","877","29752","103","1620","1467929835"
"2524","4298","25930","110","764","1467930021"
"1800","2208","4570","47","829","1467931035"
"537","277","840","91","310","1467931131"
"2024","1981","12288","36","946","1467931596"
"173","162","4395","15","56","1467931611"
"5440","4307","51803","105","42793","1467931822"
"242","399","974","1","7972","1467931932"
"203","139","2855","0","2245","1467932351"
"222","131","7742","55","50","1467932571"
"55","117","2121","3","232","1467932648"
"1506","3719","186798","253","43","1467932780"
"9548","9571","84947","151","74490","1467932838"
"46","91","1148","4","834","1467933896"
"232","338","2101","7","8719","1467933994"
"18","17","560","5","17","1467934647"
"4281","4895","64965","423","24487","1467934784"
"645","2117","11575","0","5511","1467935030"
"3288","3945","41570","113","19932","1467935292"
"325","242","493","0","164","1467935406"
"820","816","11454","18","638","1467935628"
"777","1018","19261","39","332","1467935663"
"3968","4449","89444","31","71381","1467936543"
"180212","1544","42293","4687","510","1467936741"
"1822","2385","57157","139","254","1467937176"
"6871","7548","122079","244","11303","1467937196"
"6008","6016","49749","148","4172","1467937758"
"569","435","16414","54","10530","1467937857"
"480","1678","6551","29","1350","1467938172"
"2670","2311","40311","55","2575","1467938182"
"47","264","1014","5","5566","1467938300"
"513","1717","2493","33","588","1467938333"
"640","1037","14206","48","9428","1467938908"
"1924","1841","7924","76","2039","1467939969"
"2402","2460","64554","95","1077","1467940598"
"1240","2019","28384","29","948","1467941403"
"498","755","3108","0","2502","1467941607"
"244","160","6324","138","16676","1467941786"
"2232","2691","46683","122","5143","1467942794"
"3247","3235","29126","106","7759","1467942830"
"1110","1891","19538","171","5568","1467943051"
"1985","601","5587","89","16466","1467943083"
"1065","65","14801","29","14618","1467944447"
"4111","4996","29793","66","24506","1467945401"
"6718","4695","41739","91","46376","1467945544"
"2183","1744","243909","8","70218","1467945896"
"4832","4999","30102","262","21180","1467945994"
"1239","2248","12873","51","8006","1467946095"
"1085","2640","3096","17","969","1467946883"
"13","73","146","0","91","1467947311"
"102","874","583","3","71","1467947638"
"2211","2976","49213","122","19972","1467947951"
"198","90","3000","17","8400","1467948190"
"12","53","13","3","0","1467948369"
"425","397","6711","38","6714","1467948440"
"3762","4008","84062","90","756","1467948450"
"1812","1223","19610","54","57671","1467948600"
"331","620","1437","8","1445","1467948809"
"1862","1455","76095","79","3309","1467949176"
"1455","1400","31598","10","22638","1467949563"
"1568","372","61358","112","61113","1467949627"
"1749","563","58228","179","133","1467950232"
"548","524","2964","2","87","1467951064"
"1812","1223","19620","54","57712","1467951351"
"779","2346","4186","34","2617","1467952016"
"9","41","272","0","21","1467952868"
"4423","5001","167380","325","38273","1467953105"
"119","61","347","3","89","1467954758"
"14205","9789","41706","30","43775","1467955048"
"832","2051","23330","110","2787","1467955676"
"836","704","49978","136","1185","1467955886"
"293","198","28452","181","32","1467956805"
"195","433","30181","64","18984","1467957147"
"601","295","12496","48","17482","1467957446"
"1486","1229","31918","76","15957","1467958919"
"81","10","10733","166","101","1467961481"
"176","429","8162","8","145","1467962882"
"13","72","1254","18","253","1467963188"
"480","781","878","72","25","1467965466"
"2896","3823","4681","34","6486","1467972528"
"8664","976","58311","186","653","1467974753"
"3156","3221","92345","205","55626","1467974996"
"1772","1858","42615","115","500","1467978142"
"7","85","127","0","15","1467978968"
"145","261","1836","11","590","1467979331"
"16546","16412","154504","386","110205","1467979755"
"5490","5757","220739","633","2739","1467980223"
"1865","1032","99470","258","62347","1467980361"
"12","46","204","0","122","1467980994"
"127","255","6757","8","62","1467981637"
"1079","1197","8143","205","5365","1467983416"
"1687","2097","147958","249","12967","1467983516"
"4102","2011","392058","494","808","1467983880"
"223","419","4651","58","4415","1467985152"
"8754","2895","25971","319","160","1467985391"
"727","400","4643","40","1969","1467987633"
"122","306","1423","1","233","1467989425"
"2184","2268","16114","88","2087","1467989910"
"53","314","435","23","1396","1467991169"
"1323","680","39268","93","6876","1467992014"
"68","27","2458","2","41","1467992046"
"52","61","283","2","534","1467992528"
"832","1114","13938","5","145","1467992656"
"114","88","401","2","99","1467992878"
"1196","821","80761","275","742","1467995010"
"1196","821","80777","275","742","1467995325"
"13","12","709","6","892","1467995532"
"10762","2727","7077","485","1302","1467996341"
"434","308","11620","34","7707","1467997494"
"1935","48","33414","123","32362","1467998291"
"92","322","1997","28","329","1467999748"
"2521","4255","9108","284","7833","1468000584"
"145","246","2779","4","9116","1468000733"
"33","102","2320","1","62","1468001652"
"93","322","2013","33","329","1468002494"
"46574","36980","41530","383","36911","1468002919"
"81","112","2573","3","2107","1468003948"
"841","449","7637","8","16048","1468004142"
"329","417","5543","5","3503","1468004867"
"5190","4801","86712","92","61849","1468005281"
"2219","2750","21530","78","11755","1468006153"
"745","1334","18903","4","5299","1468006955"
"3","9","3","1","8","1468007503"
"1312","991","9969","119","9198","1468007635"
"1825","2185","8278","45","117","1468009698"
"454","217","21493","33","2359","1468009927"
"678","1275","5241","9","2211","1468010071"
"4621","4551","56266","166","27978","1468010608"
"395","419","3845","1","958","1468011855"
"3701","4702","11110","10","194","1468012881"
"1762","2102","112514","176","24404","1468013610"
"2242","2376","81876","198","46825","1468013788"
"982","1553","31201","197","17668","1468013931"
"5488","5757","221009","634","2741","1468014047"
"1025","910","10024","15","1402","1468015185"
"1731","1877","66329","240","63172","1468017076"
"396","215","52672","146","7","1468018480"
"45","70","1358","17","51","1468018649"
"1224","1971","33489","64","30694","1468018742"
"1011","293","31322","98","9052","1468019405"
"33287","32126","293488","537","194753","1468019824"
"5214","5635","143621","235","58216","1468020266"
"3381","5001","43148","130","22733","1468021950"
"2211","2353","5920","81","36162","1468022628"
"1989","602","5691","89","16471","1468022794"
"1045","1061","483","7","44","1468023013"
"1214","1798","10997","25","6373","1468023057"
"4300","5000","40899","85","24708","1468023262"
"36","238","97","0","27","1468023702"
"10702","4031","113938","305","57479","1468024305"
"3691","3297","30468","128","2264","1468025272"
"2310","3353","7783","31","9010","1468026373"
"1529","4512","19352","23","5047","1468026593"
"60","175","575","7","556","1468029559"
"622","529","20534","46","12164","1468029570"
"18530","3288","72181","244","71508","1468030166"
"970","333","40434","155","35967","1468030888"
"387","257","9581","32","6236","1468031298"
"6767","5346","83737","189","39560","1468031366"
"1198","1177","19226","115","11451","1468032056"
"722","1118","4491","67","10499","1468033272"
"1020","565","64986","128","51420","1468034031"
"1020","627","29139","81","35049","1468034113"
"3574","4154","38013","141","8407","1468035689"
"868","694","45120","87","37926","1468035974"
"9127","5733","79726","250","760","1468037753"
"252","188","5967","98","1045","1468037953"
"1284","3293","19791","80","2819","1468038543"
"710","1586","7019","27","5147","1468039126"
"3145","5001","36696","150","51999","1468040690"
"41","150","1268","5","301","1468044201"
"36","150","134","0","87","1468046526"
"2925","3392","203122","130","59498","1468048255"
"2502","3383","12059","34","18324","1468048943"
"2966","4079","6498","15","2169","1468048951"
"489","70","253685","145","10","1468050322"
"204","494","7708","34","3264","1468052002"
"436","372","4930","28","16397","1468052544"
"154","0","54785","110","3037","1468053793"
"6345","6864","3477","314","1153","1468057106"
"1197","1177","19246","119","11465","1468060577"
"352","368","2562","13","4768","1468062241"
