"3298234152","751067566450311168","523","98","1584","3","1030","1467903436","RT @PeterSchiff: It defies reason and common sense that #HillaryClinton did not realize that her conduct was wrong. She can't possibly be t…"
"26549981","751068149479575552","50","116","75","0","91","1467903575","When does #frankunderwood get his 5 min to talk to FBI about his wife #hilaryunderwood email? #congress #HouseOfCards #HillaryClinton"
"1888576038","751068363397357569","1540","3753","5399","13","1104","1467903626","RT @SinCityExaminer: Like & Re-Tweet if you want #HillaryClinton in Prison!@realDonaldTrump @Writeintrump @TrumpApproved https://t.co/Y11X…"
"3376927462","751068371773321216","7381","6285","269833","861","1347","1467903628","RT @Nanas_Ranch: #HillaryClinton #Hillary4Prison #ExtremelyCareless https://t.co/8HhwrvYT0I Send the harpy to prison already!"
"2354290194","751068384343785472","47","256","3530","34","3065","1467903631","RT @FoxNews: Rep. Gowdy grills #Comey on #HillaryClinton's statements about her emails. https://t.co/YyCrQ5iFLl"
"2836839353","751068564723998720","17015","2059","146229","202","3593","1467903674","Rep. Gowdy grills #Comey on #HillaryClinton's statements about her emails. https://t.co/smYOt8jKg9 RT via NTA•NEWS® https://t.co/jx6ZZC3z2I"
"4528386766","751068896061452290","176","8","64698","22","239","1467903753","#BernieSanders better-liked, runs better against Republicans than #HillaryClinton https://t.co/rqGqGvmWfz https://t.co/c24DwAKtes"
"867112736","751069638440656896","11","42","79","5","47","1467903930","First, there's #Bernie2016 then #JillStein then #GaryJohnson then Mr. Popo then Kami then after Krillin is #HillaryClinton & #DonaldTrump"
"4251850093","751070083036815361","805","125","31128","71","41317","1467904036","RT @FoxNews: Rep. Jordan questions #Comey on whether #HillaryClinton approved emails being deleted. #ClintonEmails https://t.co/Hfap8ruOxa"
"288991651","751070263404589060","1884","2130","7190","173","2681","1467904079","Wow...#democrats have no idea what this hearing is about. #racecard #HillaryClinton #hillaryemails #HillaryEmailScandal #tcot #ccot"
"97919565","751070313748848642","1013","1907","5809","14","238","1467904091","RT @BeladonnaRogers: #HillaryClinton is betting you will forgetShe wants you to move onDon't ever forget#hillaryemails#Comey https…"
"531476711","751070456346660864","21","42","805","2","268","1467904125","RT @FoxNews: Rep. Gowdy grills #Comey on #HillaryClinton's statements about her emails. https://t.co/YyCrQ5iFLl"
"381844527","751070884144648193","482","465","29688","7","3471","1467904227","So if I do something illegal but I apologize and express my regret I'll be good? #HillaryClinton"
"289836894","751070909314789377","11491","11217","160901","197","50318","1467904233","RT @michaelkeyes: Interesting - a side-by-side comparison of #HillaryClinton's account of her email server use and the FBI's findings. http…"
"959564347","751073321043824640","14328","12648","23180","276","61","1467904808","RT @moneymorning: #DonaldTrump's new ad uses #Comey's statements to skewer #HillaryClinton https://t.co/AHgplpT2FV"
"216865107","751073425897107456","245","839","3910","3","21","1467904833","Here's the #liberal answer to anything , they are all hypocrites and frauds #NRA #HillaryClinton #Hillary #tcot  https://t.co/4Yb4q1DwuG"
"2456825562","751073476216315904","297","138","10895","12","10166","1467904845","RT @tates5a: INCOMPETENCE: #FBI Director #JamesComey tells #House panel #FBI didn't look at #HillaryClinton statements under oath https://t…"
"4916868335","751073799177633792","796","1276","7412","24","3345","1467904922","RT @michaelkeyes: Interesting - a side-by-side comparison of #HillaryClinton's account of her email server use and the FBI's findings. http…"
"177702195","751074466109595648","2860","2753","98206","111","1673","1467905081","RT @FoxNews: FBI Director #Comey: #HillaryClinton set up a personal server as a matter of convenience. #ComeyHearing https://t.co/Enp16mU…"
"731256759117996032","751075963467804672","130","158","5740","13","816","1467905438","RT @FoxNews: FBI Director #Comey: #HillaryClinton set up a personal server as a matter of convenience. #ComeyHearing https://t.co/Enp16mU…"
"72031486","751076030555627520","13","30","32","0","44","1467905454","RT @YesIamMadAsHell: #ComeyHearing So @jamescomey1 @FBI is telling the American people live on TV, that #HillaryClinton too stupid to know…"
"743085080621387776","751077112707096577","49","10","523","7","1","1467905712","RT @Varneyco: FBI's Comey: we did not investigate whether Hillary lied under oath... #hillaryemails #HillaryClinton"
"516156824","751077276285014018","141","153","5851","2","1292","1467905751","RT @YesIamMadAsHell: #ComeyHearing So @jamescomey1 @FBI is telling the American people live on TV, that #HillaryClinton too stupid to know…"
"2446135554","751077473413017600","19533","22522","601474","127","15704","1467905798","Why Hillary Clinton Could Become Unstoppable ##HillaryClinton... https://t.co/oLBxnbNo4k"
"19195060","751077645367074816","1955","2183","33944","54","4633","1467905839","RT @DefendingtheUSA: Guess Nobody Taught #HillaryClinton STEALING IS BAD! Hillary Blatantly Plagiarizes Tweet From Journalist https://t.co/…"
"20005393","751077720876998656","1268","1999","8473","61","612","1467905857","That #HillaryClinton did not know that using private server to transmit classified info in improper is even more hilarious. #FBICOMEY"
"36359349","751077825747226624","496","2296","26480","117","695","1467905882","RT @FoxNews: GOP Rep. Meadows reads #HillaryClinton's past statements on her emails. #ComeyHearing https://t.co/Id1OmbtKEb"
"2172787908","751077951559593984","216","499","1649","3","647","1467905912","RT @FoxNews: GOP Rep. Meadows reads #HillaryClinton's past statements on her emails. #ComeyHearing https://t.co/Id1OmbtKEb"
"582140844","751078073198604288","5491","5755","220314","634","2739","1467905941","UNBELIEVBLE #Comey #ComeyHearing Say #HillaryClinton (Senator,SectyOfState) MAY NOT B SOPHISTICATD ENUF KNOW CLASSIFD DOC!#LosAngeles #Utah"
"1963570075","751078551357501442","458","842","9630","27","4071","1467906055","RT @srburris: I really think that the Republicans are overplaying their hand w/ this #ComeyHearing. They hate #HillaryClinton so much it bl…"
"19143837","751078798808997888","1019","2569","24730","145","22348","1467906114","RT @FoxNews: WATCH: #Comey says it's possible #HillaryClinton did not know a (c) marking meant classified. #ComeyHearing https://t.co/B…"
"72641682","751079226611146752","123","108","3179","4","1342","1467906216","RT @Varneyco: FBI Director confirms that @HillaryClinton did not tell the truth #HillaryClinton #hillaryemails https://t.co/AKnWhqqg1x"
"255565801","751079427933556738","436","180","7812","0","730","1467906264","RT @FoxNews: GOP Rep. Meadows reads #HillaryClinton's past statements on her emails. #ComeyHearing https://t.co/Id1OmbtKEb"
"711587041549557760","751082431076196352","211","310","3002","12","134","1467906980","RT @JGalt09: Tyranny is defined as that which is legal for the govt, but illegal for the citizenry. -Thomas Jefferson#HillaryClinton #Co…"
"117734032","751083370617118720","2939","3053","47896","30","16608","1467907204","Comey admits #HillaryClinton was not smart enough to deal with emails or Classified Info. Not fit to be President. https://t.co/FMR2zI3DNL"
"3172925846","751083408328003584","1114","608","39435","76","53121","1467907213","RT @BeladonnaRogers: #HillaryClinton is betting you will forgetShe wants you to move onDon't ever forget#hillaryemails#Comey https…"
"4840244240","751083907475394561","1132","117","31569","0","56598","1467907332","RT @FoxNews: Rep. Hurd to #Comey: Who was protecting #HillaryClinton's server? https://t.co/dldPHIRV2N"
"4628161879","751084159137816576","303","670","2431","22","3659","1467907392","RT @drapermark37: COMEY JUST SAID HILLARY NOT SOPHISTICATED ENOUGH TO UNDERSTAND CLASSIFIED MARKINGS! @HillaryClinton#HillaryClinton#Cro…"
"2182542222","751084222056574976","164","61","8302","8","1449","1467907407","RT @FoxNews: Rep. Hurd to #Comey: Who was protecting #HillaryClinton's server? https://t.co/dldPHIRV2N"
"26744585","751084238829592576","81","197","1610","2","2388","1467907411","RT @KamVTV: Since #HillaryClinton doesn't understand what C means i.e..classified, think she can learn this? 👇🏽#Hillary2016 https://t.co/w…"
"495602226","751084276574146561","2892","3261","175107","702","160511","1467907420","RT @zesty_democrat: #HillaryClinton losing interest in accommodating #BernieSanders and his liberal followers https://t.co/1g4vZWDMUt https…"
"2399048166","751084830209740800","1363","662","33166","143","63879","1467907552","RT @KamVTV: Since #HillaryClinton doesn't understand what C means i.e..classified, think she can learn this? 👇🏽#Hillary2016 https://t.co/w…"
"78481742","751084922480263168","43","181","248","0","660","1467907574","RT @FoxNews: Rep. Hurd to #Comey: Who was protecting #HillaryClinton's server? https://t.co/dldPHIRV2N"
"746364687785332736","751085505488515072","610","3873","23142","139","26","1467907713","#HillaryClinton : Above the law? https://t.co/EQKwQza5lu #IndictHillary #EqualJustice"
"802659122","751086583416250368","8201","8057","98216","164","42217","1467907970","RT @SpecialKMB1969: Look at this US.Marine charged over ONE EMAIL #HillaryClinton had 100s of classified & even TOP SECRET #RiggedSystem ht…"
"4861875656","751087908837285888","1000","1002","10901","61","4254","1467908286","#HillaryClinton should not of had the server ..It's amazing how lawyers believe they are smarter then others. Can't argue the facts #MrLieu"
"32750528","751089121003761664","596","787","14530","21","6075","1467908575","RT @JoeBobMr: #FBI #JAMESCOMEY SOLD Out Rule-Of-LAW 2Provide Political Cover4 #Obama & #LorettaLynch & #HillaryClinton  =#Fixisin https://t…"
"3158642347","751089922103128064","572","977","7801","15","9957","1467908766","RT @FoxNews: Rep. Hurd to #Comey: Who was protecting #HillaryClinton's server? https://t.co/dldPHIRV2N"
"1370971824","751090542868660225","46024","26880","97887","537","67790","1467908914","RT @BeladonnaRogers: #HillaryClinton is betting you will forgetShe wants you to move onDon't ever forget#hillaryemails#Comey https…"
