681,403,288,204,136,108,68,58,54
692,395,283,201,138,112,67,56,56
700,393,278,199,134,117,65,60,54
717,398,271,201,127,111,65,56,54
725,398,271,195,123,111,65,61,51
735,397,262,188,124,111,66,66,51
745,390,258,187,127,109,63,67,54
746,393,254,188,125,106,68,67,53
757,387,254,189,123,102,69,66,53
759,380,254,189,130,101,67,63,57
746,386,257,188,132,100,72,64,55
742,386,256,187,134,98,71,66,60
740,376,260,184,136,97,74,69,64
742,380,259,184,136,97,72,68,62
742,378,262,184,135,97,73,70,59
738,377,260,191,133,97,70,71,63
743,377,258,189,132,104,68,67,62
738,385,254,183,128,109,72,66,65
735,391,240,189,123,108,74,69,71
738,394,236,184,124,107,74,73,70
743,396,236,185,117,105,78,68,72
744,396,234,187,119,101,78,70,71
739,398,232,194,116,100,79,69,73
730,400,240,195,117,99,76,71,72
721,402,247,195,121,98,76,69,71
714,404,253,199,121,95,75,68,71
708,417,247,197,121,92,82,68,68
706,422,251,192,125,89,77,66,72
702,432,245,182,127,96,80,66,70
700,432,243,183,125,94,82,68,73
703,431,233,187,122,99,83,70,72
699,436,229,188,122,98,85,74,69
696,446,223,193,124,98,83,70,67
697,437,221,198,126,96,87,70,68
694,440,217,204,126,98,87,63,71
697,433,221,197,132,101,87,63,69
702,430,216,195,138,97,87,67,68
706,420,219,202,142,96,86,65,64
701,413,231,201,150,94,84,67,59
699,403,230,200,150,102,86,67,63
694,397,230,203,153,104,82,72,65
680,404,234,200,149,107,85,77,64
678,400,231,196,149,108,94,80,64
679,398,234,191,147,111,95,83,62
688,391,233,187,142,112,97,83,67
684,398,233,189,142,110,94,84,66
689,393,237,191,139,116,89,84,62
690,389,236,193,138,116,94,84,60
692,384,237,194,141,114,91,88,59
680,388,248,193,141,117,91,88,54
680,387,252,194,144,111,85,90,57
684,381,250,197,146,113,84,88,57
688,378,253,195,139,115,88,89,55
684,383,258,191,135,121,84,88,56
676,380,263,184,143,121,86,92,55
668,384,256,182,148,121,90,95,56
657,387,263,186,148,120,86,91,62
644,387,267,185,150,122,87,94,64
642,388,258,183,148,132,88,94,67
639,390,264,183,149,127,87,93,68
639,391,270,177,151,126,88,91,67
640,389,266,182,157,126,86,87,67
639,392,269,181,153,125,87,89,65
634,387,264,189,159,122,88,88,69
625,387,263,189,163,127,88,90,68
628,383,252,183,163,135,94,90,72
626,384,250,179,165,133,96,90,77
617,395,249,181,162,136,94,90,76
614,392,247,183,161,142,97,87,77
608,389,241,187,167,141,100,87,80
607,387,242,188,169,146,100,85,76
608,385,247,188,169,143,99,82,79
604,382,248,189,174,141,95,84,83
610,389,240,184,172,139,99,84,83
618,386,244,182,164,139,100,84,83
624,381,256,186,152,140,98,80,83
632,382,258,181,148,139,99,83,78
642,386,257,176,143,139,95,82,80
654,390,257,176,141,130,100,75,77
655,392,258,182,139,127,99,74,74
664,391,259,182,135,124,99,73,73
660,397,267,176,131,123,103,70,73
653,403,266,181,136,125,96,66,74
661,402,269,175,136,125,94,66,72
662,410,267,177,133,119,95,65,72
657,410,273,184,133,116,95,65,67
657,408,277,182,134,117,92,68,65
665,395,274,179,136,117,97,71,66
664,392,285,184,132,110,94,71,68
680,390,283,183,126,109,94,71,64
687,392,285,178,122,105,99,69,63
691,395,280,176,118,109,99,71,61
697,401,276,173,117,111,98,68,59
696,396,280,178,118,107,98,70,57
694,400,275,179,121,107,98,70,56
689,406,270,177,123,103,102,69,61
689,405,263,179,127,105,103,66,63
692,409,259,178,129,100,107,66,60
690,405,263,173,132,102,105,69,61
691,403,258,171,136,104,104,73,60
678,403,257,175,141,104,104,76,62
687,393,259,176,138,104,98,80,65
699,379,267,172,138,101,94,82,68
689,390,268,174,134,100,94,82,69
689,375,265,178,141,106,96,78,72
700,371,263,175,139,105,96,76,75
698,371,263,178,139,105,96,73,77
691,379,266,183,137,104,93,72,75
699,379,261,176,139,104,96,73,73
688,384,260,174,141,106,98,72,77
672,388,258,174,148,107,94,77,82
661,392,259,176,154,108,92,77,81
654,380,263,180,155,112,96,77,83
659,376,260,183,156,111,93,78,84
675,370,256,186,153,113,89,76,82
699,357,253,190,153,114,81,75,78
705,345,253,202,149,115,79,75,77
704,328,250,207,156,119,79,75,82
715,317,247,211,154,116,74,80,86
730,315,240,208,154,115,73,79,86
739,312,241,205,150,118,70,78,87
737,311,237,204,153,116,74,81,87
738,313,230,202,156,120,73,84,84
754,304,224,198,158,118,73,87,84
750,312,223,193,152,115,74,94,87
747,304,229,193,156,113,72,95,91
750,306,224,193,158,111,75,95,88
749,298,225,186,163,116,76,98,89
742,299,227,187,161,116,77,97,94
746,294,232,191,157,116,74,99,91
755,286,233,193,150,118,79,98,88
759,280,234,199,146,112,81,98,91
764,282,229,206,144,109,79,101,86
767,279,230,199,144,109,83,103,86
753,275,238,197,143,107,92,104,91
733,285,242,194,142,105,100,108,91
719,291,251,184,142,104,104,113,92
727,299,249,180,137,101,104,114,89
719,301,246,176,139,109,113,110,87
712,300,246,186,138,119,110,105,84
712,306,233,183,139,132,113,102,80
722,310,221,181,137,140,113,96,80
721,313,217,183,137,144,115,90,80
723,306,217,179,135,154,118,87,81
734,308,217,182,133,157,112,82,75
741,313,211,178,128,166,111,80,72
741,320,211,174,124,164,109,81,76
760,325,201,178,118,155,104,82,77
767,338,195,175,116,154,101,82,72
778,347,185,166,117,158,99,78,72
777,374,177,157,118,153,93,72,79
788,387,170,150,114,153,91,70,77
790,400,169,138,113,153,90,67,80
778,422,167,138,110,153,84,67,81
